GameRecord,GameDate,GameLength,Frequency
0,2019-11-06,1.478333333,4
1,2019-11-05,0.375,1
2,2019-11-03,1.236111111,5
3,2019-11-02,4.008611111,13
4,2019-11-01,1.453055556,5
5,2019-10-31,4.461388889,13
6,2019-10-27,1.905277778,5
7,2019-10-26,0.9575,2
8,2019-10-24,1.550555556,4
9,2019-10-18,0.702777778,1
10,2019-10-12,1.810277778,4
11,2019-10-11,2.514166667,7
12,2019-10-08,1.626944444,4
13,2019-10-05,2.001666667,5
14,2019-10-04,3.689444444,10
15,2019-10-03,0.923611111,2
16,2019-09-29,0.699166667,2
17,2019-09-27,3.054722222,7
18,2019-09-26,0.360833333,1
19,2019-09-22,1.56,3
20,2019-09-20,1.009722222,2
21,2019-09-15,3.441388889,8
22,2019-09-14,1.211111111,2
23,2019-09-13,0.721388889,2
24,2019-09-12,1.135277778,3
25,2019-09-07,3.292222222,10
26,2019-09-06,1.272222222,4
27,2019-09-05,4.093055556,10
28,2019-09-04,0.745555556,2
29,2019-09-03,1.272222222,3
30,2019-08-31,4.255555556,10
31,2019-08-30,2.493611111,7
32,2019-08-29,5.577222222,13
33,2019-08-28,5.682222222,13
34,2019-08-26,3.729166667,9
35,2019-08-25,2.991944444,8
36,2019-08-24,5.006388889,12
37,2019-08-23,1.863888889,4
38,2019-08-22,3.582222222,10
39,2019-08-21,5.373888889,14
40,2019-08-20,3.554722222,10
41,2019-08-19,4.583333333,12
42,2019-08-18,1.581388889,3
43,2019-08-17,7.678055556,18
44,2019-08-16,4.731666667,13
45,2019-08-15,4.761388889,10
46,2019-08-13,4.191666667,10
47,2019-08-12,4.501666667,10
48,2019-08-10,1.890555556,4
49,2019-08-08,1.616944444,3
50,2019-08-06,2.347777778,5
51,2019-08-04,6.91,17
52,2019-08-03,4.675555556,10
53,2019-08-02,2.465833333,9
54,2019-08-01,9.079722222,22
55,2019-07-29,2.568333333,5
56,2019-07-26,5.576111111,13
57,2019-07-25,0.784444444,1
58,2019-07-23,4.268333333,9
59,2019-07-21,2.492222222,6
60,2019-07-20,2.73,5
61,2019-07-19,4.737222222,10
62,2019-07-18,2.745,5
63,2019-07-17,1.1725,3
64,2019-07-16,2.028888889,5
65,2019-07-15,3.36,6
66,2019-07-12,1.395833333,2
67,2019-07-10,1.630277778,3
68,2019-06-18,0.609166667,1
